resp_gender,resp_age,hh_mem_18,video_a,video_b,video_c,variety_preferred,reason_preferred,variety_lesspreferred,reason_lesspreferred,country
Male,62,1,green maize variety,feed variety,nutritious variety,C,This Variety Which Has Vitamin A And Which Is Highly Nutrisious Which Improves Health Among School Going Children,B,This Might Be Difricult To Find Market For It And It Is Weak In Times Of Drought And Diseases,Uganda
Male,65,5,intercropping,feed & fodder,resilient,B,This Is My Best Because It Provides Feeds To Animals And For Human Beings,C,According To The Three Veriaties I Would Choose This Because It Has The Same Purposes Like The Oter I Had Picked,Uganda
Male,44,4,home use & family consumption,drought avoidance,feed variety,B,The Fact That It Takes Shorter Period To Mature And This Is A Shorter Season,C,This Veriaty Has No Marketit Is Weak And It Needs Alot Of Fertilizers,Uganda
Female,28,6,nutritious variety,home use & family consumption,green maize variety,B,The Fact That You Can Store The Maize For Longer Period,C,Acdorsing To Three Veriaties I Would Choose This Since There`S Limited Market For The Green Maize,Uganda
Male,31,2,feed & fodder,intercropping,drought avoidance,B,It Gives Double Out Put If Two Crops On The Same Piece Of Land,A,According To The Three Verieties I Would Take This One Since I Don`T Have Cows Now But All Verieties Are Good,Uganda
Female,20,3,drought avoidance,feed variety,nutritious variety,C,Because It Has High Levels Of Vitamin A,B,Because Its Specifically For Pigs And I Don`T Rear Pigs,Uganda
Male,53,1,home use & family consumption,green maize variety,intercropping,B,Because The Maize Corns Are Big In Size,C,Because It Takes Alot Of Space When Planting It,Uganda
Female,60,0,feed & fodder,resilient,green maize variety,B,Because Its Drought Resistant And Also Resistant To Diseases,C,Because It Is Best When Sold Fresh And For Us We Only Have Market For Dried Maize,Uganda
Female,45,3,feed variety,nutritious variety,resilient,B,Because It Has High Levels Of Vitamin A,A,Because It Can Be Eaten By People,Uganda
Male,59,5,intercropping,feed & fodder,home use & family consumption,C,Because It Can Be Kept In The Store For Six Months Without Getting Spoilt Or Infected,A,It Consumes A Lot Of Land Because Of Spacing,Uganda
Male,22,1,feed & fodder,feed variety,nutritious variety,C,Rich In Vitamin A,A,Don`T Have Animals,Uganda
Female,45,4,home use & family consumption,intercropping,drought avoidance,C,Have Limited Rainfall,B,Little Harvest,Uganda
Female,25,0,resilient,intercropping,green maize variety,B,Two Crop Variety,A,Not Good Here,Uganda
Female,51,1,green maize variety,drought avoidance,resilient,B,Grows Fast,C,Takes Long Time To Maturity,Uganda
Female,35,9,feed variety,nutritious variety,home use & family consumption,B,Rich In Vitamin A,A,Rarely Rears Animals,Uganda
Female,34,7,feed variety,nutritious variety,feed & fodder,C,Provides Food For Animals And Man.But Most Importantly It Has Market.,A,Not Popular On The Market.,Uganda
Male,57,0,home use & family consumption,green maize variety,drought avoidance,A,Can Be Stored For A Long Time Without Being Attacked By Pests.,C,Gives Low Output At Harvest Period.,Uganda
Male,48,6,resilient,intercropping,feed & fodder,C,Good Food For Animals,A,Similar To Mine.,Uganda
Female,36,3,intercropping,resilient,nutritious variety,A,Produces Vitamin A,B,Its Similar To Mine.,Uganda
Male,48,1,green maize variety,drought avoidance,feed variety,B,Its Sweet And Can Be Harvested In Less Than Four Months.,C,It`S Labour Intensive And Has No Market.,Uganda
Female,38,3,drought avoidance,home use & family consumption,resilient,B,It Can Be Harvested And Stored For A Long Time Without Being Attacked By Pests.,C,It`S Slightly Similar To The Variety I Intend To Plant.,Uganda
Male,39,2,nutritious variety,feed & fodder,green maize variety,A,It`S Sweet And It Has Vitamin A.,B,Has No Market.,Uganda
Female,52,3,resilient,green maize variety,nutritious variety,A,Being Drought And Disease Resistant.,C,Has No Market.,Uganda
